name,kind,declaredLine,declarationEndLine,declarationLines,callSiteCount,consumerFiles,verdict,targetPackage,frictionAbsorbed,adrNote
LanguageModelV3,type-reexport,1,1,1,36,examples/ecommerce/src/main.ts:2; packages/core/src/agent.ts:3; packages/core/src/cascade/index.ts:6; packages/core/src/cascade/readiness.ts:3; packages/core/src/compat/routing.ts:8; packages/core/src/lite.ts:1; packages/core/test/agent.test.ts:8; site/src/cascadeDemo.ts:3; site/src/opsDemo.ts:2,KEEP-CORE,core,Absorbs provider typing friction for custom AI SDK-compatible model routes without forcing adopters to import an extra provider type directly.,Absorbs provider typing friction for custom AI SDK-compatible model routes without forcing adopters to import an extra provider type directly.
modelOptional,re-export,6,6,1,32,docs/templates/mission-profile-starter/profile.ts:2; examples/ecommerce/src/main.ts:5; packages/cli/src/index.ts:2; packages/core/src/compat/knowledge.ts:3; packages/core/src/lite.ts:1; packages/core/src/tools.ts:1; packages/core/test/agent.test.ts:5; packages/knowledge/src/index.ts:3; scripts/clean-room-adoption.mjs:2; site/src/docsContent.ts:3; site/src/opsDemo.ts:3; tests/fixtures/fresh-app/src/main.tsx:2,KEEP-CORE,core,Absorbs small local-model schema brittleness around optional/nullish fields so adopters do not loosen schemas unsafely across every tool.,Absorbs small local-model schema brittleness around optional/nullish fields so adopters do not loosen schemas unsafely across every tool.
stepCountIs,re-export,6,6,1,10,packages/core/src/agent.ts:2; packages/core/src/lite.ts:1; packages/core/src/tools.ts:2; spike/src/main.ts:5,KEEP-CORE,core,Absorbs AI SDK loop-control import friction for the common bounded tool-loop path without wrapping or replacing AI SDK orchestration.,Absorbs AI SDK loop-control import friction for the common bounded tool-loop path without wrapping or replacing AI SDK orchestration.
tool,re-export,6,6,1,646,docs/templates/mission-profile-starter/profile.ts:5; examples/ecommerce/src/main.ts:19; packages/agui/src/index.ts:6; packages/cli/src/index.ts:5; packages/core/src/agent.ts:39; packages/core/src/compat/agui.ts:6; packages/core/src/compat/governance.ts:12; packages/core/src/compat/knowledge.ts:3; packages/core/src/compat/mcp.ts:3; packages/core/src/compat/skills.ts:11; packages/core/src/context.ts:2; packages/core/src/lite.ts:1; packages/core/src/telemetry.ts:4; packages/core/src/tools.ts:2; packages/core/test/agent.test.ts:121; packages/core/test/compat-drift.test.ts:2; packages/core/test/profile.test.ts:9; packages/governance/src/index.ts:12; packages/governance/test/index.test.ts:6; packages/knowledge/src/index.ts:4; packages/knowledge/test/index.test.ts:1; packages/mcp/src/index.ts:3; packages/react/src/index.ts:1; packages/react/test/index.test.ts:1; packages/skills/src/index.ts:6; packages/skills/test/index.test.ts:2; packages/ui/src/component.ts:9; packages/ui/src/index.test.ts:10; scripts/clean-room-adoption.mjs:5; scripts/eval-model-cascade.mjs:3; scripts/research-agent-loops.mjs:5; scripts/research-suite.mjs:28; site/index.html:3; site/src/answerComposer.test.ts:4; site/src/answerComposer.ts:17; site/src/cascadeDemo.ts:6; site/src/content.ts:28; site/src/demoPage.ts:16; site/src/docs.ts:8; site/src/docsContent.ts:126; site/src/main.ts:16; site/src/opsDemo.ts:30; site/src/profiles/field-ops.ts:5; site/src/profiles/public-catalog-shopping.ts:4; site/src/siteAssistant.ts:11; site/vite.config.ts:5; spike/index.html:1; spike/src/main.ts:13; tests/e2e/docs.spec.ts:1; tests/fixtures/fresh-app/src/main.tsx:6,KEEP-CORE,core,"Absorbs tool-shape compatibility friction by re-exporting the AI SDK primitive adopters already need, avoiding an Edgekit-specific tool format.","Absorbs tool-shape compatibility friction by re-exporting the AI SDK primitive adopters already need, avoiding an Edgekit-specific tool format."
DownloadPolicy,type-reexport,7,7,1,12,packages/core/src/agent.ts:2; packages/core/src/cascade/index.ts:2; packages/core/src/cascade/readiness.ts:4; packages/core/src/lite.ts:1; site/src/cascadeDemo.ts:3,KEEP-CORE,core,"Absorbs the product decision of whether model downloads are automatic, prompted, or forbidden so every integration does not invent its own consent switch.","Absorbs the product decision of whether model downloads are automatic, prompted, or forbidden so every integration does not invent its own consent switch."
DownloadPromptEvent,type-reexport,7,7,1,11,packages/core/src/agent.ts:3; packages/core/src/cascade/index.ts:2; packages/core/src/cascade/readiness.ts:3; packages/core/src/lite.ts:1; packages/ui/src/component.ts:2,KEEP-CORE,core,"Absorbs model-download consent payload friction so host apps can use custom modals without reverse-engineering provider IDs, model sizes, or copy.","Absorbs model-download consent payload friction so host apps can use custom modals without reverse-engineering provider IDs, model sizes, or copy."
ModelProvider,type-reexport,7,7,1,25,packages/core/src/agent.ts:2; packages/core/src/cascade/index.ts:6; packages/core/src/cascade/readiness.ts:4; packages/core/src/compat/routing.ts:8; packages/core/src/lite.ts:1; packages/core/src/providers/chrome-ai.ts:2; packages/core/src/providers/web-llm.ts:2,KEEP-CORE,core,Absorbs custom-provider adapter friction by defining the one wrapper shape required to participate in the local-first cascade.,Absorbs custom-provider adapter friction by defining the one wrapper shape required to participate in the local-first cascade.
ModelStatusEvent,type-reexport,7,7,1,14,packages/core/src/agent.ts:6; packages/core/src/cascade/index.ts:2; packages/core/src/cascade/readiness.ts:3; packages/core/src/lite.ts:1; packages/ui/src/component.ts:2,KEEP-CORE,core,"Absorbs provider-readiness event shape friction so host UIs and telemetry receive one status contract across Chrome AI, WebLLM, server, and no-model states.","Absorbs provider-readiness event shape friction so host UIs and telemetry receive one status contract across Chrome AI, WebLLM, server, and no-model states."
NoModelEvent,type-reexport,7,7,1,6,packages/core/src/agent.ts:2; packages/core/src/cascade/index.ts:1; packages/core/src/lite.ts:1; packages/ui/src/component.ts:2,KEEP-CORE,core,Absorbs graceful-degradation payload friction so apps can explain basic/no-model mode without surfacing WebGPU or browser API failures.,Absorbs graceful-degradation payload friction so apps can explain basic/no-model mode without surfacing WebGPU or browser API failures.
ResolveModelContext,type-reexport,7,7,1,5,packages/core/src/cascade/index.ts:4; packages/core/src/lite.ts:1,KEEP-CORE,core,"Absorbs provider-resolution context friction so custom providers receive bounded input, status emission, timeout, and session state consistently.","Absorbs provider-resolution context friction so custom providers receive bounded input, status emission, timeout, and session state consistently."
